"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          59,      -1.831753162,       1.248568524,       1.031856485,       4.104355823,       2.224776104,       5.322077512
          0,           0,          60,      -1.794879679,       1.278733266,       1.033245738,       4.133936172,       2.125383087,       5.351526485
          0,           0,          61,      -1.819341422,       1.258855346,       1.010756789,       4.104179094,        2.11826061,       5.357407183
          0,           0,          62,      -1.841813176,       1.238402684,       1.015466479,       4.106464955,       2.049179359,       5.321777717
          0,           0,          63,      -1.876854096,       1.201631777,      0.9963049918,       4.078253659,       2.049457873,       5.317473761
          0,           0,          64,      -1.903915863,       1.182990956,        0.99850868,       4.036264855,       2.051776249,       5.305572631
          0,           0,          65,      -1.877476473,       1.202272226,       1.024606415,       4.071976322,       2.068027995,       5.328122727
          0,           0,          66,      -1.823402425,       1.238280137,       1.024931869,       4.113188368,       1.980290395,       5.344815682
          0,           0,          67,      -1.837219923,       1.232431024,       1.008132632,       4.083694896,       1.996123385,       5.343016966
          0,           0,          68,       -1.85629768,       1.220483755,       1.011034275,       4.079742911,       1.890054132,       5.314181047
          0,           0,          69,      -1.892297636,       1.188394987,       0.988099736,       4.051780066,       1.918285386,       5.308443341
          0,           0,          70,      -1.908636831,       1.177589416,      0.9967591183,       4.030957396,       1.972195995,       5.297745738
          0,           0,          71,      -1.881133718,       1.199635801,       1.024323976,        4.05712118,       1.889299227,       5.304499955
          0,           0,          72,      -1.880234066,       1.195329705,       1.008081364,       4.062891566,       1.926082533,       5.306317252
          0,           0,          73,      -1.884625269,       1.193598771,       1.001749903,        4.06609171,        1.96522859,       5.326909093
          0,           0,          74,      -1.878484718,       1.202826352,       1.007905929,       4.070846715,       1.844682343,       5.315640526
          0,           0,          75,      -1.891841883,       1.190584799,       1.001386326,        4.05699473,       1.875156236,       5.318950713
          0,           0,          76,      -1.895902045,       1.187937358,       1.004652096,       4.050207741,       1.912530376,       5.320713605
          0,           0,          77,      -1.882151165,       1.196482135,       1.020848265,       4.061648472,       1.799651244,       5.329939858
          0,           0,          78,      -1.872918435,       1.207596243,       1.015933836,       4.063930917,       1.841472985,       5.344659873
          0,           0,          79,      -1.866060333,       1.215090928,       1.020077888,       4.078979581,       1.893380123,       5.373518816
          0,           0,          80,      -1.833419506,       1.234692198,       1.028308089,       4.099938636,       1.789497649,        5.37490446
          0,           0,          81,      -1.845370297,        1.22006338,       1.024713316,       4.078415673,       1.842290507,       5.388134817
          0,           0,          82,      -1.859062102,       1.214245635,       1.026924781,       4.089639243,        1.74572721,       5.347134243
          0,           0,          83,      -1.879252188,       1.204510556,       1.008371802,       4.075613816,       1.790860065,       5.339949381
          0,           0,          84,       -1.87447506,       1.210536567,       1.013617052,       4.065914837,       1.853569179,       5.355912923
          0,           0,          85,      -1.843302665,       1.233439577,        1.03918163,       4.102703504,       1.900181134,       5.386409978
          0,           0,          86,      -1.804677042,       1.253496128,       1.036778147,       4.130083366,       1.801778987,       5.392484537
          0,           0,          87,      -1.829221343,        1.22926537,       1.022754638,       4.097718452,       1.857112473,       5.398495439
          0,           0,          88,      -1.857795235,       1.211968917,       1.028051827,       4.085450567,       1.751506478,       5.338999354
          0,           0,          89,      -1.877624079,       1.205722463,       1.011875572,       4.068079813,       1.806239634,       5.333166932
          0,           0,          90,      -1.858341172,       1.223014298,       1.016806283,       4.080943208,       1.885943575,       5.363178493
          0,           0,          91,      -1.832505297,       1.245889221,       1.036204954,       4.103318034,        1.80341922,       5.372798045
          0,           0,          92,      -1.849220949,        1.22313358,       1.020115857,       4.103454752,        1.86721815,       5.352695662
          0,           0,          93,      -1.873455907,       1.193415145,       1.019440952,       4.089612426,       1.883209853,       5.377805597
          0,           0,          94,      -1.897592918,       1.181515691,       1.019595226,       4.049036083,       1.961411616,        5.34599796
          0,           0,          95,      -1.858752758,       1.215955734,         1.0469693,       4.086373453,       1.862358492,       5.344730895
          0,           0,          96,      -1.820257768,       1.245925548,        1.03105294,       4.112675591,       1.938447586,       5.378349875
          0,           0,          97,      -1.814100474,       1.257189133,       1.026337325,       4.111104418,       1.854702755,       5.382752781
          0,           0,          98,       -1.85964807,       1.213163797,       1.012123257,       4.089793957,       1.924356295,       5.330730679
          0,           0,          99,      -1.884224941,       1.180773875,       1.018114405,       4.073118495,       2.010443941,       5.368862506
          0,           0,         100,      -1.877703491,       1.192917888,       1.028306676,       4.064352244,       1.911355341,       5.338416996
          0,           0,         101,       -1.86025722,       1.218450506,       1.028890667,       4.086502602,       1.835892863,       5.290048021
          0,           0,         102,      -1.865427904,       1.208485528,      0.9968765561,       4.070528585,       1.869110174,       5.274776415
          0,           0,         103,      -1.858180262,        1.22156801,      0.9995785064,       4.070442076,       1.927906611,       5.321306761
          0,           0,         104,      -1.820575127,       1.255458229,       1.008388181,       4.126292877,       2.006036615,       5.368409932
          0,           0,         105,      -1.812516382,       1.258537853,       1.030738182,       4.138126941,       1.911545094,       5.377420243
          0,           0,         106,      -1.861975507,       1.207780676,       1.014400944,       4.077523828,       1.955019386,       5.326828002
          0,           0,         107,      -1.870855294,       1.183148588,       1.025420314,       4.062162332,         2.0459898,       5.364297916
          0,           0,         108,      -1.858070801,       1.204059463,       1.032098857,       4.073722081,       1.949309711,       5.341908918
          0,           0,         109,       -1.85147234,       1.226830979,       1.023426974,        4.09098099,       2.022440029,       5.334256129
          0,           0,         110,       -1.80406686,       1.260960408,       1.030338414,       4.124284841,       2.121710819,       5.379909923
          0,           0,         111,      -1.780681786,       1.277219716,       1.050824678,       4.139622183,        2.01707221,        5.39497342
          0,           0,         112,      -1.817808046,       1.236949988,       1.035855125,       4.121937601,       2.085399784,       5.357679957
          0,           0,         113,      -1.844874133,        1.19844757,        1.03668851,       4.107254864,       1.987804687,       5.357410883
          0,           0,         114,       -1.89715261,       1.164073435,       1.023357542,       4.043081752,       1.903299533,       5.216349913
          0,           0,         115,      -1.891021563,       1.189471171,      0.9932574273,       4.036029828,       1.947941536,       5.206674499
          0,           0,         116,      -1.834017569,       1.237478438,      0.9911542689,       4.106777742,       2.016685361,       5.315607834
          0,           0,         117,      -1.825144939,       1.239914648,       1.014757762,       4.115906945,       2.093706045,       5.355265716
          0,           0,         118,      -1.820805904,       1.242049456,       1.029352133,       4.113981103,       2.002326191,       5.336816684
          0,           0,         119,      -1.835138654,       1.232327158,       1.012317352,        4.09703239,       1.942780801,       5.273047819
          0,           0,         120,      -1.913824689,       1.149377228,      0.9749125141,       4.025580496,       1.897173929,       5.059320322
          0,           0,         121,      -2.001226658,       1.062201236,      0.8755566483,       3.931637666,       1.923929614,       5.038253217
          0,           0,         122,      -2.031844997,       1.057995781,      0.9092169375,       3.886030731,       1.959763971,       5.042651433
          0,           0,         123,      -1.979660433,          1.095424,      0.9808978495,       3.947189441,       2.009155747,       5.142021817
          0,           0,         124,      -1.911534267,       1.150040362,      0.9980923393,       4.023832135,       1.952712631,        5.18830743
          0,           0,         125,      -1.939495789,       1.127833126,      0.9549699427,       3.993038935,       1.917053964,       5.040407858
          0,           0,         126,       -2.08420944,      0.9579681039,      0.8965846143,       3.826256705,       1.898841722,       4.616391139
          0,           0,         127,      -2.199572606,      0.8448989822,      0.7560382403,       3.689826607,       1.923095116,        4.47857013
          0,           0,         128,      -2.204139875,      0.8683336134,      0.8093265125,       3.692549679,       1.951608427,       4.476835493
          0,           0,         129,      -2.178338169,      0.9294177138,      0.8397673441,       3.724193614,       1.985743659,       4.599831627
          0,           0,         130,      -2.219621492,      0.8456463644,      0.8583859841,       3.681592278,       1.957368704,        4.54158618
          0,           0,         131,       -2.20040392,      0.8707554586,      0.8236464238,       3.675959847,       1.986137633,       4.517393988
          0,           0,         132,      -2.183426473,       0.917611948,      0.8662843121,       3.691535409,       2.022007069,       4.654030821
          0,           0,         133,      -2.119073287,      0.9954979977,      0.9287870859,       3.780424389,       1.991383038,       4.639777989
          0,           0,         134,      -2.168554794,      0.8853744782,      0.8734265126,       3.723062767,        1.98003897,        4.44146985
