"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          79,      -1.042505331,        1.64022288,       1.006029775,       4.597660921
          0,           0,          80,      -1.052215839,       1.630613122,      0.9831748331,       4.586554468
          0,           0,          81,      -1.048203446,       1.633978141,      0.9776882042,       4.590669049
          0,           0,          82,      -1.050112837,       1.631020778,      0.9649508136,       4.587839668
          0,           0,          83,       -1.04512697,       1.636888928,      0.9651696812,        4.59300217
          0,           0,          84,      -1.044074268,       1.636597648,      0.9591397002,       4.593342535
          0,           0,          85,      -1.050411258,       1.630074328,      0.9471413316,       4.585798083
          0,           0,          86,      -1.046350977,       1.634567118,      0.9486859006,       4.590015797
          0,           0,          87,      -1.046690609,       1.633112464,      0.9455034608,       4.589049715
          0,           0,          88,      -1.056231552,       1.625080308,      0.9377191422,       4.578807395
          0,           0,          89,      -1.051900591,        1.62935856,      0.9429600926,       4.583620807
          0,           0,          90,      -1.053214324,       1.629356771,      0.9462942574,       4.582483945
          0,           0,          91,      -1.054948507,       1.629068089,      0.9513915553,        4.58113119
          0,           0,          92,      -1.055559344,       1.629707614,      0.9589664701,       4.581060709
          0,           0,          93,      -1.057023743,       1.630650361,      0.9659274082,       4.580452937
          0,           0,          94,      -1.057648031,       1.631750251,      0.9750953109,       4.580729168
          0,           0,          95,      -1.066964768,        1.62616219,      0.9820659515,       4.572644487
          0,           0,          96,      -1.062966255,       1.632233081,      0.9934573588,       4.578131902
          0,           0,          97,      -1.064937345,       1.633197944,       1.002683939,       4.577463761
          0,           0,          98,      -1.060609419,       1.639942723,       1.013854468,        4.58303346
          0,           0,          99,      -1.061378932,       1.640505811,        1.01806285,       4.582845493
          0,           0,         100,      -1.069904741,       1.634096683,       1.023414955,       4.574734567
          0,           0,         101,      -1.069119176,       1.637165423,       1.032120738,       4.576406798
          0,           0,         102,      -1.074961517,       1.633941203,       1.039805063,       4.571189366
          0,           0,         103,      -1.097369428,       1.615253021,       1.043285931,       4.549043188
          0,           0,         104,      -1.105480397,       1.611060401,       1.049385388,       4.542222954
          0,           0,         105,      -1.108681223,       1.610774934,       1.054595425,       4.540055214
          0,           0,         106,      -1.109907102,       1.611515756,       1.058803677,       4.539544885
          0,           0,         107,      -1.110041234,       1.612836265,       1.062882488,       4.539990812
          0,           0,         108,      -1.109697249,       1.614449434,       1.067108552,       4.540879782
