# x, curve, Cp
8.800000000000000044e-01,7.707388788989694151e-02,1.298802062002532287e-01
8.900000000000000133e-01,7.770717475268239249e-02,1.283068016950573431e-01
9.000000000000000222e-01,7.833269096274834975e-02,1.267204464652839369e-01
9.100000000000000311e-01,7.895037396899505511e-02,1.251212973295229569e-01
9.200000000000000400e-01,7.956016200363660862e-02,1.235095124953032031e-01
9.300000000000000488e-01,8.016199408837772211e-02,1.218852515448357737e-01
9.400000000000000577e-01,8.075581004051143874e-02,1.202486754205457781e-01
9.500000000000000666e-01,8.134155047893737445e-02,1.185999464103800749e-01
9.599999999999999645e-01,8.191915683009982907e-02,1.169392281328233835e-01
9.699999999999999734e-01,8.248857133384501772e-02,1.152666855217428232e-01
9.799999999999999822e-01,8.304973704919704769e-02,1.135824848109442259e-01
9.899999999999999911e-01,8.360259786005205807e-02,1.118867935185398482e-01
1.000000000000000000e+00,8.414709848078966159e-02,1.101797804310239437e-01
1.010000000000000009e+00,8.468318446180152226e-02,1.084616155871674370e-01
1.020000000000000018e+00,8.521080219493630536e-02,1.067324702616511967e-01
1.030000000000000027e+00,8.572989891886034775e-02,1.049925169484661469e-01
1.040000000000000036e+00,8.624042272433385392e-02,1.032419293440920982e-01
1.050000000000000044e+00,8.674232255940170222e-02,1.014808823304386431e-01
1.060000000000000053e+00,8.723554823449863882e-02,9.970955195756010803e-02
1.070000000000000062e+00,8.772005042746816583e-02,9.792811542614104914e-02
1.080000000000000071e+00,8.819578068849476260e-02,9.613675106974782503e-02
1.090000000000000080e+00,8.866269144494873244e-02,9.433563833687767797e-02
1.100000000000000089e+00,8.912073600614354996e-02,9.252495777275948630e-02
1.110000000000000098e+00,8.956986856800476515e-02,9.070489100094830670e-02
1.120000000000000107e+00,9.001004421765051999e-02,8.887562070469574860e-02
1.130000000000000115e+00,9.044121893788259481e-02,8.703733060811294497e-02
1.140000000000000124e+00,9.086334961158833157e-02,8.519020545710107029e-02
1.150000000000000133e+00,9.127639402605211560e-02,8.333443100008115778e-02
1.159999999999999920e+00,9.168031087717669336e-02,8.147019396852336892e-02
1.169999999999999929e+00,9.207505977361357674e-02,7.959768205725196999e-02
1.179999999999999938e+00,9.246060124080203446e-02,7.771708390456417981e-02
1.189999999999999947e+00,9.283689672491667044e-02,7.582858907212676469e-02
1.199999999999999956e+00,9.320390859672263162e-02,7.393238802469050130e-02
1.209999999999999964e+00,9.356160015533859786e-02,7.202867210961204358e-02
1.219999999999999973e+00,9.390993563190676297e-02,7.011763353616756733e-02
1.229999999999999982e+00,9.424888019316975118e-02,6.819946535471087257e-02
1.239999999999999991e+00,9.457839994495390035e-02,6.627436143560123949e-02
1.250000000000000000e+00,9.489846193555862008e-02,6.434251644798451297e-02
1.260000000000000009e+00,9.520903415905157541e-02,6.240412583839818894e-02
1.270000000000000018e+00,9.551008555846923764e-02,6.045938580917011029e-02
1.280000000000000027e+00,9.580158602892249742e-02,5.850849329669593341e-02
1.290000000000000036e+00,9.608350642060727032e-02,5.655164594951796880e-02
1.300000000000000044e+00,9.635581854171930416e-02,5.458904210623470588e-02
1.310000000000000053e+00,9.661849516127340998e-02,5.262088077329592217e-02
1.320000000000000062e+00,9.687151001182653376e-02,5.064736160260798620e-02
1.330000000000000071e+00,9.711483779210446088e-02,4.866868486900435137e-02
1.340000000000000080e+00,9.734845416953194497e-02,4.668505144757114506e-02
1.350000000000000089e+00,9.757233578266591434e-02,4.469666279084340277e-02
1.360000000000000098e+00,9.778646024353163102e-02,4.270372090585279612e-02
1.370000000000000107e+00,9.799080613986142774e-02,4.070642833105162645e-02
1.380000000000000115e+00,9.818535303723598118e-02,3.870498811312866189e-02
1.390000000000000124e+00,9.837008148112766359e-02,3.669960378367457393e-02
1.400000000000000133e+00,9.854497299884602823e-02,3.469047933576705628e-02
1.409999999999999920e+00,9.871001010138504006e-02,3.267781920041733235e-02
1.419999999999999929e+00,9.886517628517198231e-02,3.066182822295004246e-02
1.429999999999999938e+00,9.901045603371777526e-02,2.864271163924189678e-02
1.439999999999999947e+00,9.914583481916865171e-02,2.662067505189324654e-02
1.449999999999999956e+00,9.927129910375885602e-02,2.459592440631599639e-02
1.459999999999999964e+00,9.938683634116449173e-02,2.256866596673587702e-02
1.469999999999999973e+00,9.949243497775810130e-02,2.053910629209642139e-02
1.479999999999999982e+00,9.958808445376400587e-02,1.850745221193152157e-02
1.489999999999999991e+00,9.967377520431434934e-02,1.647391080214147263e-02
1.500000000000000000e+00,9.974949866040544455e-02,1.443868936072681755e-02
1.510000000000000009e+00,9.981524724975482377e-02,1.240199538345837862e-02
1.520000000000000018e+00,9.987101439755829979e-02,1.036403653950716298e-02
1.530000000000000027e+00,9.991679452714760656e-02,8.325020647036092056e-03
1.540000000000000036e+00,9.995258306054791153e-02,6.285155648737420289e-03
1.550000000000000044e+00,9.997837641893569938e-02,4.244649587368635145e-03
1.560000000000000053e+00,9.999417202299663854e-02,2.203710581232646865e-03
1.570000000000000062e+00,9.999996829318347213e-02,1.625467996659721781e-04
1.580000000000000071e+00,9.999576464987401658e-02,-1.878633561501099301e-03
1.590000000000000080e+00,9.998156151342908748e-02,-3.919622304483096932e-03
1.600000000000000089e+00,9.995736030415051931e-02,-5.960211254078269690e-03
1.610000000000000098e+00,9.992316344213905688e-02,-8.000192282216605708e-03
1.620000000000000107e+00,9.987897434705239608e-02,-1.003935733246412269e-02
1.630000000000000115e+00,9.982479743776324910e-02,-1.207749844455390312e-02
1.640000000000000124e+00,9.976063813191737850e-02,-1.411440777885842462e-02
1.650000000000000133e+00,9.968650284539189166e-02,-1.614987764083194305e-02
1.660000000000000142e+00,9.960239899165368449e-02,-1.818370050545902936e-02
1.669999999999999929e+00,9.950833498101802066e-02,-2.021566904161112982e-02
1.679999999999999938e+00,9.940432021980760702e-02,-2.224557613638717540e-02
1.689999999999999947e+00,9.929036510941186000e-02,-2.427321491939821163e-02
1.699999999999999956e+00,9.916648104524686258e-02,-2.629837878697602327e-02
1.709999999999999964e+00,9.903268041561580359e-02,-2.832086142635097809e-02
1.719999999999999973e+00,9.888897660047014926e-02,-3.034045683973029747e-02
1.729999999999999982e+00,9.873538397007164402e-02,-3.235695936830201846e-02
1.739999999999999991e+00,9.857191788355534889e-02,-3.437016371618294847e-02
1.750000000000000000e+00,9.839859468739370341e-02,-3.637986497427087018e-02
1.760000000000000009e+00,9.821543171376184711e-02,-3.838585864397210667e-02
1.770000000000000018e+00,9.802244727880454755e-02,-4.038794066088085416e-02
1.780000000000000027e+00,9.781966068080447108e-02,-4.238590741833992565e-02
1.790000000000000036e+00,9.760709219825242089e-02,-4.437955579087237562e-02
1.800000000000000044e+00,9.738476308781951474e-02,-4.636868315751881825e-02
1.810000000000000053e+00,9.715269558223153801e-02,-4.835308742506296692e-02
1.820000000000000062e+00,9.691091288804563886e-02,-5.033256705112403029e-02
1.830000000000000071e+00,9.665943918332975393e-02,-5.230692106711138517e-02
1.840000000000000080e+00,9.639829961524482016e-02,-5.427594910107107901e-02
1.850000000000000089e+00,9.612752029752999472e-02,-5.623945140037620721e-02
1.860000000000000098e+00,9.584712830789142435e-02,-5.819722885428004616e-02
1.870000000000000107e+00,9.555715168529439751e-02,-6.014908301631494147e-02
1.880000000000000115e+00,9.525761942715954556e-02,-6.209481612656145288e-02
1.890000000000000124e+00,9.494856148646305116e-02,-6.403423113373833686e-02
1.900000000000000133e+00,9.463000876874144707e-02,-6.596713171713258772e-02
1.910000000000000142e+00,9.430199312900106046e-02,-6.789332230839649485e-02
1.919999999999999929e+00,9.396454736853249168e-02,-6.981260811313309833e-02
1.929999999999999938e+00,9.361770523163061297e-02,-7.172479513233007142e-02
1.939999999999999947e+00,9.326150140222005946e-02,-7.362969018363405005e-02
1.949999999999999956e+00,9.289597150038693407e-02,-7.552710092240437489e-02
1.959999999999999964e+00,9.252115207881683734e-02,-7.741683586262551597e-02
1.969999999999999973e+00,9.213708061913955527e-02,-7.929870439760072776e-02
1.979999999999999982e+00,9.174379552818098804e-02,-8.117251682046522365e-02
1.989999999999999991e+00,9.134133613412252772e-02,-8.303808434451544207e-02
2.000000000000000000e+00,9.092974268256817649e-02,-8.489521912332990972e-02
2.010000000000000231e+00,9.050905633252009919e-02,-8.674373427068367282e-02
2.020000000000000018e+00,9.007931915226273512e-02,-8.858344388027915295e-02
2.030000000000000249e+00,8.964057411515598262e-02,-9.041416304524878267e-02
2.040000000000000036e+00,8.919286509533796981e-02,-9.223570787747192856e-02
2.049999999999999822e+00,8.873623686333755034e-02,-9.404789552665500374e-02
2.060000000000000053e+00,8.827073508159741233e-02,-9.585054419921533453e-02
2.069999999999999840e+00,8.779640629990781431e-02,-9.764347317694874184e-02
2.080000000000000071e+00,8.731329795075165601e-02,-9.942650283546027035e-02
2.089999999999999858e+00,8.682145834456127254e-02,-1.011994546624050417e-01
2.100000000000000089e+00,8.632093666488738215e-02,-1.029621512754754498e-01
2.109999999999999876e+00,8.581178296348089540e-02,-1.047144164401856564e-01
2.120000000000000107e+00,8.529404815528762729e-02,-1.064560750874151696e-01
2.129999999999999893e+00,8.476778401335699487e-02,-1.081869533307444065e-01
2.140000000000000124e+00,8.423304316366457545e-02,-1.099068784835318807e-01
2.149999999999999911e+00,8.368987907984977437e-02,-1.116156790757839301e-01
2.160000000000000142e+00,8.313834607786831088e-02,-1.133131848707888412e-01
2.169999999999999929e+00,8.257849931056081283e-02,-1.149992268815228230e-01
2.180000000000000160e+00,8.201039476213742296e-02,-1.166736373868002552e-01
2.189999999999999947e+00,8.143408924257961035e-02,-1.183362499472117441e-01
2.200000000000000178e+00,8.084964038195902036e-02,-1.199868994208172363e-01
2.209999999999999964e+00,8.025710662467472334e-02,-1.216254219786075674e-01
2.220000000000000195e+00,7.965654722360865359e-02,-1.232516551197257448e-01
2.229999999999999982e+00,7.904802223420048790e-02,-1.248654376864666016e-01
2.240000000000000213e+00,7.843159250844199126e-02,-1.264666098789999360e-01
2.250000000000000000e+00,7.780731968879212035e-02,-1.280550132698992094e-01
2.260000000000000231e+00,7.717526620201257959e-02,-1.296304908184260363e-01
2.270000000000000018e+00,7.653549525292535627e-02,-1.311928868845527729e-01
2.280000000000000249e+00,7.588807081809217925e-02,-1.327420472427635056e-01
2.290000000000000036e+00,7.523305763941706692e-02,-1.342778190956338824e-01
2.300000000000000266e+00,7.457052121767200614e-02,-1.358000510871525401e-01
2.310000000000000053e+00,7.390052780594708048e-02,-1.373085933158102734e-01
2.319999999999999840e+00,7.322314440302514493e-02,-1.388032973474635501e-01
2.330000000000000071e+00,7.253843874668196301e-02,-1.402840162279687664e-01
2.339999999999999858e+00,7.184647930691262507e-02,-1.417506044955557376e-01
2.350000000000000089e+00,7.114733527908444211e-02,-1.432029181929953821e-01
2.359999999999999876e+00,7.044107657701763336e-02,-1.446408148795415016e-01
2.370000000000000107e+00,6.972777382599378015e-02,-1.460641536426016407e-01
2.379999999999999893e+00,6.900749835569364166e-02,-1.474727951092285327e-01
2.390000000000000124e+00,6.828032219306397199e-02,-1.488666014573523377e-01
2.399999999999999911e+00,6.754631805511510101e-02,-1.502454364267995779e-01
2.410000000000000142e+00,6.680555934164909837e-02,-1.516091653300781772e-01
2.419999999999999929e+00,6.605812012792007526e-02,-1.529576550629469234e-01
2.430000000000000160e+00,6.530407515722648493e-02,-1.542907741147668543e-01
2.439999999999999947e+00,6.454349983343707353e-02,-1.556083925786144462e-01
2.450000000000000178e+00,6.377647021345037026e-02,-1.569103821611988192e-01
2.459999999999999964e+00,6.300306299958922940e-02,-1.581966161925527081e-01
2.470000000000000195e+00,6.222335553193047292e-02,-1.594669696354995558e-01
2.479999999999999982e+00,6.143742578057118098e-02,-1.607213190949293991e-01
2.490000000000000213e+00,6.064535233783147072e-02,-1.619595428268381099e-01
2.500000000000000000e+00,5.984721441039565770e-02,-1.631815207471923879e-01
2.510000000000000231e+00,5.904309181139127255e-02,-1.643871344405506973e-01
2.520000000000000018e+00,5.823306495240818809e-02,-1.655762671685007958e-01
2.530000000000000249e+00,5.741721483545723231e-02,-1.667488038779008086e-01
2.540000000000000036e+00,5.659562304487028572e-02,-1.679046312089102766e-01
2.550000000000000266e+00,5.576837173914166862e-02,-1.690436375028162019e-01
2.560000000000000053e+00,5.493554364271266421e-02,-1.701657128096839000e-01
2.569999999999999840e+00,5.409722203769885829e-02,-1.712707488958055413e-01
2.580000000000000071e+00,5.325349075556212036e-02,-1.723586392509571241e-01
2.589999999999999858e+00,5.240443416872761495e-02,-1.734292790954632124e-01
2.600000000000000089e+00,5.155013718214641882e-02,-1.744825653870903659e-01
2.609999999999999876e+00,5.069068522480534716e-02,-1.755183968277469475e-01
2.620000000000000107e+00,4.982616424118385678e-02,-1.765366738700076543e-01
2.629999999999999893e+00,4.895666068265995541e-02,-1.775372987234571931e-01
2.640000000000000124e+00,4.808226149886482559e-02,-1.785201753608614550e-01
2.649999999999999911e+00,4.720305412898826575e-02,-1.794852095241621093e-01
2.660000000000000142e+00,4.631912649303451812e-02,-1.804323087303113804e-01
2.669999999999999929e+00,4.543056698303064855e-02,-1.813613822769266082e-01
2.680000000000000160e+00,4.453746445418711730e-02,-1.822723412477884886e-01
2.689999999999999947e+00,4.363990821601262948e-02,-1.831650985181751401e-01
2.700000000000000178e+00,4.273798802338298064e-02,-1.840395687600352714e-01
2.709999999999999964e+00,4.183179406756590279e-02,-1.848956684470122458e-01
2.720000000000000195e+00,4.092141696720173055e-02,-1.857333158592898437e-01
2.729999999999999982e+00,4.000694775924195506e-02,-1.865524310883239223e-01
2.740000000000000213e+00,3.908847788984522176e-02,-1.873529360413929423e-01
2.750000000000000000e+00,3.816609920523317268e-02,-1.881347544460159060e-01
2.760000000000000231e+00,3.723990394250552977e-02,-1.888978118542213869e-01
2.770000000000000018e+00,3.630998472041683384e-02,-1.896420356466789470e-01
2.780000000000000249e+00,3.537643453011427019e-02,-1.903673550366900280e-01
2.790000000000000036e+00,3.443934672583900264e-02,-1.910737010740352904e-01
2.800000000000000266e+00,3.349881501559046765e-02,-1.917610066487012710e-01
2.810000000000000053e+00,3.255493345175600184e-02,-1.924292064944596037e-01
2.819999999999999840e+00,3.160779642170537945e-02,-1.930782371923282781e-01
2.830000000000000071e+00,3.065749863835229294e-02,-1.937080371738999496e-01
2.839999999999999858e+00,2.970413513068324157e-02,-1.943185467245453768e-01
2.850000000000000089e+00,2.874780123425443867e-02,-1.949097079864927917e-01
2.859999999999999876e+00,2.778859258165868040e-02,-1.954814649617922506e-01
2.870000000000000107e+00,2.682660509296179441e-02,-1.960337635151573332e-01
2.879999999999999893e+00,2.586193496611108311e-02,-1.965665513766833294e-01
2.890000000000000124e+00,2.489467866731525855e-02,-1.970797781444657837e-01
2.899999999999999911e+00,2.392493292139824534e-02,-1.975733952870954435e-01
2.910000000000000142e+00,2.295279470212642156e-02,-1.980473561460444620e-01
2.919999999999999929e+00,2.197836122251169491e-02,-1.985016159379459078e-01
2.930000000000000160e+00,2.100172992508991809e-02,-1.989361317567668874e-01
2.939999999999999947e+00,2.002299847217705459e-02,-1.993508625758723951e-01
2.950000000000000178e+00,1.904226473610270629e-02,-1.997457692499874371e-01
2.959999999999999964e+00,1.805962678942329286e-02,-2.001208145170622066e-01
2.970000000000000195e+00,1.707518289511453236e-02,-2.004759630000283177e-01
2.979999999999999982e+00,1.608903149674557539e-02,-2.008111812084622805e-01
2.990000000000000213e+00,1.510127120863438525e-02,-2.011264375401501381e-01
3.000000000000000000e+00,1.411200080598672135e-02,-2.014217022825543768e-01
3.010000000000000231e+00,1.312131921501837918e-02,-2.016969476141870776e-01
3.020000000000000018e+00,1.212932550306297652e-02,-2.019521476058923626e-01
3.030000000000000249e+00,1.113611886866495981e-02,-2.021872782220312803e-01
3.040000000000000036e+00,1.014179863166018644e-02,-2.024023173215777072e-01
3.050000000000000266e+00,9.146464223243675265e-03,-2.025972446591256526e-01
3.060000000000000053e+00,8.150215176026912381e-03,-2.027720418858048046e-01
3.070000000000000284e+00,7.153151114084326141e-03,-2.029266925501082286e-01
3.080000000000000071e+00,6.155371742991314933e-03,-2.030611820986319149e-01
3.089999999999999858e+00,5.156976839853464299e-03,-2.031754978767281727e-01
3.100000000000000089e+00,4.158066243329048943e-03,-2.032696291290716217e-01
3.109999999999999876e+00,3.158739843645389910e-03,-2.033435670001389473e-01
3.120000000000000107e+00,2.159097572609596036e-03,-2.033973045346049724e-01
3.129999999999999893e+00,1.159239393615827491e-03,-2.034308366776510224e-01
3.140000000000000124e+00,1.592652916486828388e-04,-2.034425508873330679e-01
