# x, curve, Cp
0.000000000000000000e+00,0.000000000000000000e+00,2.034444165928199488e-01
1.000000000000000021e-02,9.999833334166665331e-04,2.034343116814047447e-01
2.000000000000000042e-02,1.999866669333308280e-03,2.034039978976234231e-01
2.999999999999999889e-02,2.999550020249566046e-03,2.033534780928267782e-01
4.000000000000000083e-02,3.998933418663416089e-03,2.032827570191256261e-01
5.000000000000000278e-02,4.997916927067833776e-03,2.031918413291790015e-01
5.999999999999999778e-02,5.996400647944460059e-03,2.030807395758982004e-01
7.000000000000000666e-02,6.994284733753276806e-03,2.029494622120666392e-01
8.000000000000000167e-02,7.991469396917269194e-03,2.027980215898709249e-01
8.999999999999999667e-02,8.987854919801105055e-03,2.026264319603501840e-01
1.000000000000000056e-01,9.983341664682815475e-03,2.024347094727573793e-01
1.100000000000000006e-01,1.097783008371748178e-02,2.022228721738312252e-01
1.199999999999999956e-01,1.197122072889193756e-02,2.019909400069838101e-01
1.300000000000000044e-01,1.296341426196948726e-02,2.017389348114004832e-01
1.400000000000000133e-01,1.395431146442364934e-02,2.014668803210447612e-01
1.499999999999999944e-01,1.494381324735992271e-02,2.011748021635783312e-01
1.600000000000000033e-01,1.593182066142459843e-02,2.008627278591886833e-01
1.700000000000000122e-01,1.691823490669960503e-02,2.005306868193242054e-01
1.799999999999999933e-01,1.790295734258241789e-02,2.001787103453352701e-01
1.900000000000000022e-01,1.888588949765005950e-02,1.998068316270212030e-01
2.000000000000000111e-01,1.986693307950612372e-02,1.994150857410810218e-01
2.099999999999999922e-01,2.084598998460995833e-02,1.990035096494693345e-01
2.200000000000000011e-01,2.182296230808693227e-02,1.985721421976492096e-01
2.300000000000000100e-01,2.279775235351884366e-02,1.981210241127487615e-01
2.399999999999999911e-01,2.377026264271345918e-02,1.976501980016140692e-01
2.500000000000000000e-01,2.474039592545229649e-02,1.971597083487602875e-01
2.600000000000000089e-01,2.570805518921551180e-02,1.966496015142167042e-01
2.700000000000000178e-01,2.667314366888311541e-02,1.961199257312651045e-01
2.800000000000000266e-01,2.763556485641137719e-02,1.955707311040697782e-01
2.899999999999999800e-01,2.859522251048355473e-02,1.950020696051950053e-01
2.999999999999999889e-01,2.955202066613395531e-02,1.944139950730223720e-01
3.099999999999999978e-01,3.050586364434434983e-02,1.938065632090287260e-01
3.200000000000000067e-01,3.145665606161177769e-02,1.931798315749740924e-01
3.300000000000000155e-01,3.240430283948683710e-02,1.925338595899592775e-01
3.400000000000000244e-01,3.334870921408144423e-02,1.918687085273595994e-01
3.500000000000000333e-01,3.428978074554513839e-02,1.911844415116456530e-01
3.599999999999999867e-01,3.522742332750899291e-02,1.904811235150697390e-01
3.699999999999999956e-01,3.616154319649619864e-02,1.897588213542341362e-01
3.800000000000000044e-01,3.709204694129827201e-02,1.890176036865176268e-01
3.900000000000000133e-01,3.801884151231614550e-02,1.882575410063896948e-01
4.000000000000000222e-01,3.894183423086505780e-02,1.874787056415684605e-01
4.100000000000000311e-01,3.986093279844230008e-02,1.866811717490573508e-01
4.199999999999999845e-01,4.077604530595702048e-02,1.858650153110397718e-01
4.299999999999999933e-01,4.168708024292108044e-02,1.850303141306299248e-01
4.400000000000000022e-01,4.259394650659996395e-02,1.841771478274749074e-01
4.500000000000000111e-01,4.349655341112302481e-02,1.833055978332266134e-01
4.600000000000000200e-01,4.439481069655198259e-02,1.824157473868459334e-01
4.700000000000000289e-01,4.528862853790683457e-02,1.815076815297699264e-01
4.799999999999999822e-01,4.617791755414829558e-02,1.805814871009126799e-01
4.899999999999999911e-01,4.706258881711580799e-02,1.796372527315249767e-01
5.000000000000000000e-01,4.794255386042030331e-02,1.786750688398781872e-01
5.100000000000000089e-01,4.881772468829075062e-02,1.776950276257983352e-01
5.200000000000000178e-01,4.968801378437368022e-02,1.766972230650285802e-01
5.300000000000000266e-01,5.055333412048469699e-02,1.756817509034343527e-01
5.400000000000000355e-01,5.141359916531132446e-02,1.746487086510250530e-01
5.500000000000000444e-01,5.226872289306592340e-02,1.735981955758149620e-01
5.600000000000000533e-01,5.311861979208834517e-02,1.725303126975104573e-01
5.700000000000000622e-01,5.396320487339693189e-02,1.714451627810044398e-01
5.799999999999999600e-01,5.480239367918735699e-02,1.703428503297120811e-01
5.899999999999999689e-01,5.563610229127838314e-02,1.692234815787135582e-01
5.999999999999999778e-01,5.646424733950353853e-02,1.680871644877063864e-01
6.099999999999999867e-01,5.728674601004812850e-02,1.669340087337840284e-01
6.199999999999999956e-01,5.810351605373051398e-02,1.657641257040116944e-01
6.300000000000000044e-01,5.891447579422695591e-02,1.645776284878238682e-01
6.400000000000000133e-01,5.971954413623921376e-02,1.633746318692094746e-01
6.500000000000000222e-01,6.051864057360395455e-02,1.621552523187204942e-01
6.600000000000000311e-01,6.131168519734338240e-02,1.609196079852664163e-01
6.700000000000000400e-01,6.209859870365597168e-02,1.596678186877058536e-01
6.800000000000000488e-01,6.287930240184685937e-02,1.584000059062506127e-01
6.900000000000000577e-01,6.365371822219680065e-02,1.571162927736515502e-01
7.000000000000000666e-01,6.442176872376911834e-02,1.558168040661701559e-01
7.099999999999999645e-01,6.518337710215366121e-02,1.545016661943581227e-01
7.199999999999999734e-01,6.593846719714731297e-02,1.531710071936167039e-01
7.299999999999999822e-01,6.668696350036978915e-02,1.518249567145206202e-01
7.399999999999999911e-01,6.742879116281451368e-02,1.504636460129689102e-01
7.500000000000000000e-01,6.816387600233340949e-02,1.490872079400886452e-01
7.600000000000000089e-01,6.889214451105513115e-02,1.476957769319118541e-01
