Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
40,1.17683,891660,3,1225.75,-2.17482e-12,0,1225.75,-0.3,0,0,0.3,101325,3.97771e-15,300,1041.57,-1.84804e-12,0,1041.57
41,1.17683,891660,3,1225.75,-2.17451e-12,0,1225.75,-0.28,0,0,0.28,101325,8.16477e-15,300,1041.57,-1.84777e-12,0,1041.57
42,1.17683,891660,3,1225.75,-2.17418e-12,0,1225.75,-0.26,0,0,0.26,101325,9.94427e-15,300,1041.57,-1.84749e-12,0,1041.57
43,1.17683,891660,3,1225.75,0,0,1225.75,-0.24,0,0,0.24,101325,5.23383e-15,300,1041.57,0,0,1041.57
44,1.17683,891660,3,1225.75,0,0,1225.75,-0.22,0,0,0.22,101325,2.72159e-15,300,1041.57,0,0,1041.57
45,1.17683,891660,3,1225.75,-2.17316e-12,0,1225.75,-0.2,0,0,0.2,101325,5.44318e-15,300,1041.57,-1.84662e-12,0,1041.57
46,1.17683,891660,3,1225.75,0,0,1225.75,-0.18,0,0,0.18,101325,4.08239e-15,300,1041.57,0,0,1041.57
47,1.17683,891660,3,1225.75,0,0,1225.75,-0.16,0,0,0.16,101325,2.61691e-15,300,1041.57,0,0,1041.57
48,1.17683,891660,3,1225.75,0,0,1225.75,-0.14,0,0,0.14,101325,1.25612e-15,300,1041.57,0,0,1041.57
49,1.17683,891660,3,1225.75,0,0,1225.75,-0.12,0,0,0.12,101325,1.3608e-15,300,1041.57,0,0,1041.57
50,1.17683,891660,3,1225.75,0,0,1225.75,-0.1,0,0,0.1,101325,0,300,1041.57,0,0,1041.57
51,1.17683,891660,3,1225.75,-2.17089e-12,0,1225.75,-0.08,0,0,0.08,101325,5.44318e-15,300,1041.57,-1.84469e-12,0,1041.57
52,1.17683,891660,3,1225.75,-2.17048e-12,0,1225.75,-0.06,0,0,0.06,101325,7.85074e-15,300,1041.57,-1.84434e-12,0,1041.57
53,1.17683,891660,3,1225.75,0,0,1225.75,-0.04,0,0,0.04,101325,6.28059e-15,300,1041.57,0,0,1041.57
54,1.17683,891660,3,1225.75,-2.16889e-12,0,1225.75,-0.02,0,0,0.02,101325,8.16477e-15,300,1041.57,-1.84299e-12,0,1041.57
55,1.46181,1.0954e+06,2.75933,1469.16,146.82,0,1476.48,0.0313221,0.0031317,0,0.0314783,139903,0.277503,333.467,1005.03,100.437,0,1010.03
56,1.52205,1.13829e+06,2.72159,1521.44,151.821,0,1529,0.0626446,0.00626036,0,0.0629566,148121,0.336616,339.083,999.605,99.7481,0,1004.57
57,1.54811,1.15679e+06,2.70602,1543.97,153.691,0,1551.6,0.0939677,0.00938294,0,0.0944349,151694,0.362322,341.417,997.326,99.2764,0,1002.26
58,1.55879,1.16435e+06,2.69975,1553.22,154.079,0,1560.84,0.125292,0.0124964,0,0.125913,153162,0.372883,342.359,996.423,98.845,0,1001.31
59,1.56243,1.16692e+06,2.69763,1556.41,153.711,0,1563.98,0.156617,0.0155977,0,0.157392,153663,0.376481,342.678,996.147,98.3794,0,1000.99
60,1.5627,1.16712e+06,2.69747,1556.72,152.906,0,1564.21,0.187943,0.0186839,0,0.18887,153700,0.376753,342.702,996.175,97.8472,0,1000.97
61,1.56124,1.16608e+06,2.69832,1555.57,151.807,0,1562.96,0.219272,0.0217519,0,0.220348,153500,0.375311,342.575,996.363,97.2347,0,1001.1
62,1.55878,1.16434e+06,2.69975,1553.55,150.478,0,1560.82,0.250602,0.0247988,0,0.251826,153161,0.372871,342.359,996.649,96.5358,0,1001.31
63,1.55562,1.1621e+06,2.7016,1550.96,148.948,0,1558.1,0.281935,0.0278215,0,0.283305,152727,0.369751,342.082,997.004,95.7484,0,1001.59
