# x, curve
1.340000000000000080e+00,9.734845416953194497e-02
1.350000000000000089e+00,9.757233578266591434e-02
1.360000000000000098e+00,9.778646024353163102e-02
1.370000000000000107e+00,9.799080613986142774e-02
1.380000000000000115e+00,9.818535303723598118e-02
1.390000000000000124e+00,9.837008148112766359e-02
1.400000000000000133e+00,9.854497299884602823e-02
1.409999999999999920e+00,9.871001010138504006e-02
1.419999999999999929e+00,9.886517628517198231e-02
1.429999999999999938e+00,9.901045603371777526e-02
1.439999999999999947e+00,9.914583481916865171e-02
1.449999999999999956e+00,9.927129910375885602e-02
1.459999999999999964e+00,9.938683634116449173e-02
1.469999999999999973e+00,9.949243497775810130e-02
1.479999999999999982e+00,9.958808445376400587e-02
1.489999999999999991e+00,9.967377520431434934e-02
1.500000000000000000e+00,9.974949866040544455e-02
1.510000000000000009e+00,9.981524724975482377e-02
1.520000000000000018e+00,9.987101439755829979e-02
1.530000000000000027e+00,9.991679452714760656e-02
1.540000000000000036e+00,9.995258306054791153e-02
1.550000000000000044e+00,9.997837641893569938e-02
1.560000000000000053e+00,9.999417202299663854e-02
1.570000000000000062e+00,9.999996829318347213e-02
1.580000000000000071e+00,9.999576464987401658e-02
1.590000000000000080e+00,9.998156151342908748e-02
1.600000000000000089e+00,9.995736030415051931e-02
1.610000000000000098e+00,9.992316344213905688e-02
1.620000000000000107e+00,9.987897434705239608e-02
1.630000000000000115e+00,9.982479743776324910e-02
1.640000000000000124e+00,9.976063813191737850e-02
1.650000000000000133e+00,9.968650284539189166e-02
1.660000000000000142e+00,9.960239899165368449e-02
1.669999999999999929e+00,9.950833498101802066e-02
1.679999999999999938e+00,9.940432021980760702e-02
1.689999999999999947e+00,9.929036510941186000e-02
1.699999999999999956e+00,9.916648104524686258e-02
1.709999999999999964e+00,9.903268041561580359e-02
1.719999999999999973e+00,9.888897660047014926e-02
1.729999999999999982e+00,9.873538397007164402e-02
1.739999999999999991e+00,9.857191788355534889e-02
1.750000000000000000e+00,9.839859468739370341e-02
1.760000000000000009e+00,9.821543171376184711e-02
1.770000000000000018e+00,9.802244727880454755e-02
1.780000000000000027e+00,9.781966068080447108e-02
1.790000000000000036e+00,9.760709219825242089e-02
1.800000000000000044e+00,9.738476308781951474e-02
1.810000000000000053e+00,9.715269558223153801e-02
1.820000000000000062e+00,9.691091288804563886e-02
1.830000000000000071e+00,9.665943918332975393e-02
1.840000000000000080e+00,9.639829961524482016e-02
1.850000000000000089e+00,9.612752029752999472e-02
1.860000000000000098e+00,9.584712830789142435e-02
1.870000000000000107e+00,9.555715168529439751e-02
1.880000000000000115e+00,9.525761942715954556e-02
1.890000000000000124e+00,9.494856148646305116e-02
1.900000000000000133e+00,9.463000876874144707e-02
1.910000000000000142e+00,9.430199312900106046e-02
1.919999999999999929e+00,9.396454736853249168e-02
1.929999999999999938e+00,9.361770523163061297e-02
1.939999999999999947e+00,9.326150140222005946e-02
1.949999999999999956e+00,9.289597150038693407e-02
1.959999999999999964e+00,9.252115207881683734e-02
1.969999999999999973e+00,9.213708061913955527e-02
1.979999999999999982e+00,9.174379552818098804e-02
1.989999999999999991e+00,9.134133613412252772e-02
2.000000000000000000e+00,9.092974268256817649e-02
2.010000000000000231e+00,9.050905633252009919e-02
2.020000000000000018e+00,9.007931915226273512e-02
2.030000000000000249e+00,8.964057411515598262e-02
2.040000000000000036e+00,8.919286509533796981e-02
2.049999999999999822e+00,8.873623686333755034e-02
2.060000000000000053e+00,8.827073508159741233e-02
2.069999999999999840e+00,8.779640629990781431e-02
2.080000000000000071e+00,8.731329795075165601e-02
2.089999999999999858e+00,8.682145834456127254e-02
2.100000000000000089e+00,8.632093666488738215e-02
2.109999999999999876e+00,8.581178296348089540e-02
2.120000000000000107e+00,8.529404815528762729e-02
2.129999999999999893e+00,8.476778401335699487e-02
2.140000000000000124e+00,8.423304316366457545e-02
2.149999999999999911e+00,8.368987907984977437e-02
2.160000000000000142e+00,8.313834607786831088e-02
2.169999999999999929e+00,8.257849931056081283e-02
2.180000000000000160e+00,8.201039476213742296e-02
2.189999999999999947e+00,8.143408924257961035e-02
2.200000000000000178e+00,8.084964038195902036e-02
2.209999999999999964e+00,8.025710662467472334e-02
2.220000000000000195e+00,7.965654722360865359e-02
2.229999999999999982e+00,7.904802223420048790e-02
2.240000000000000213e+00,7.843159250844199126e-02
2.250000000000000000e+00,7.780731968879212035e-02
2.260000000000000231e+00,7.717526620201257959e-02
2.270000000000000018e+00,7.653549525292535627e-02
2.280000000000000249e+00,7.588807081809217925e-02
2.290000000000000036e+00,7.523305763941706692e-02
2.300000000000000266e+00,7.457052121767200614e-02
2.310000000000000053e+00,7.390052780594708048e-02
2.319999999999999840e+00,7.322314440302514493e-02
2.330000000000000071e+00,7.253843874668196301e-02
2.339999999999999858e+00,7.184647930691262507e-02
2.350000000000000089e+00,7.114733527908444211e-02
2.359999999999999876e+00,7.044107657701763336e-02
2.370000000000000107e+00,6.972777382599378015e-02
2.379999999999999893e+00,6.900749835569364166e-02
2.390000000000000124e+00,6.828032219306397199e-02
2.399999999999999911e+00,6.754631805511510101e-02
2.410000000000000142e+00,6.680555934164909837e-02
2.419999999999999929e+00,6.605812012792007526e-02
2.430000000000000160e+00,6.530407515722648493e-02
2.439999999999999947e+00,6.454349983343707353e-02
2.450000000000000178e+00,6.377647021345037026e-02
2.459999999999999964e+00,6.300306299958922940e-02
2.470000000000000195e+00,6.222335553193047292e-02
2.479999999999999982e+00,6.143742578057118098e-02
2.490000000000000213e+00,6.064535233783147072e-02
2.500000000000000000e+00,5.984721441039565770e-02
2.510000000000000231e+00,5.904309181139127255e-02
2.520000000000000018e+00,5.823306495240818809e-02
2.530000000000000249e+00,5.741721483545723231e-02
2.540000000000000036e+00,5.659562304487028572e-02
2.550000000000000266e+00,5.576837173914166862e-02
2.560000000000000053e+00,5.493554364271266421e-02
2.569999999999999840e+00,5.409722203769885829e-02
2.580000000000000071e+00,5.325349075556212036e-02
2.589999999999999858e+00,5.240443416872761495e-02
2.600000000000000089e+00,5.155013718214641882e-02
2.609999999999999876e+00,5.069068522480534716e-02
2.620000000000000107e+00,4.982616424118385678e-02
2.629999999999999893e+00,4.895666068265995541e-02
2.640000000000000124e+00,4.808226149886482559e-02
2.649999999999999911e+00,4.720305412898826575e-02
2.660000000000000142e+00,4.631912649303451812e-02
2.669999999999999929e+00,4.543056698303064855e-02
2.680000000000000160e+00,4.453746445418711730e-02
2.689999999999999947e+00,4.363990821601262948e-02
2.700000000000000178e+00,4.273798802338298064e-02
2.709999999999999964e+00,4.183179406756590279e-02
2.720000000000000195e+00,4.092141696720173055e-02
2.729999999999999982e+00,4.000694775924195506e-02
2.740000000000000213e+00,3.908847788984522176e-02
2.750000000000000000e+00,3.816609920523317268e-02
2.760000000000000231e+00,3.723990394250552977e-02
2.770000000000000018e+00,3.630998472041683384e-02
2.780000000000000249e+00,3.537643453011427019e-02
2.790000000000000036e+00,3.443934672583900264e-02
2.800000000000000266e+00,3.349881501559046765e-02
2.810000000000000053e+00,3.255493345175600184e-02
2.819999999999999840e+00,3.160779642170537945e-02
2.830000000000000071e+00,3.065749863835229294e-02
2.839999999999999858e+00,2.970413513068324157e-02
2.850000000000000089e+00,2.874780123425443867e-02
2.859999999999999876e+00,2.778859258165868040e-02
2.870000000000000107e+00,2.682660509296179441e-02
2.879999999999999893e+00,2.586193496611108311e-02
2.890000000000000124e+00,2.489467866731525855e-02
2.899999999999999911e+00,2.392493292139824534e-02
2.910000000000000142e+00,2.295279470212642156e-02
2.919999999999999929e+00,2.197836122251169491e-02
2.930000000000000160e+00,2.100172992508991809e-02
